agent,difficulty,seed,outcome,score,decisions,elapsed_seconds,pellets_left,ghosts_eaten,repeat_visits,immediate_backtracks,performance
table_driven,normal,1,caught,70,11,1.485,66,0,4,1,-934.2
simple_reflex,normal,1,caught,790,221,29.835,10,0,155,13,-280.2
model_based,normal,1,caught,610,114,15.39,24,0,62,3,-418.8
goal_based,normal,1,caught,480,71,9.585,33,0,31,12,-558.2
utility_based,normal,1,caught,490,66,8.91,32,0,23,6,-535.2
learning,normal,1,caught,490,78,10.53,32,0,34,8,-541.6
greedy,normal,1,caught,500,50,6.75,31,0,8,4,-518.0
random,normal,1,caught,150,34,4.59,58,0,19,13,-882.8
table_driven,normal,2,caught,70,11,1.485,66,0,4,1,-934.2
simple_reflex,normal,2,caught,1000,130,17.55,9,1,66,9,-44.0
model_based,normal,2,caught,560,66,8.91,29,0,22,1,-455.2
goal_based,normal,2,caught,1070,160,21.6,2,1,89,15,8.0
utility_based,normal,2,win,1090,95,12.825,0,1,22,8,3055.0
learning,normal,2,caught,490,80,10.8,32,0,36,10,-546.0
greedy,normal,2,caught,520,52,7.02,29,0,8,4,-498.4
random,normal,2,caught,150,33,4.455,58,0,18,12,-880.6
table_driven,normal,3,caught,70,11,1.485,66,0,4,1,-934.2
simple_reflex,normal,3,caught,1260,148,19.98,3,2,78,11,208.4
model_based,normal,3,caught,590,98,13.23,26,0,48,1,-431.6
goal_based,normal,3,caught,540,76,10.26,27,0,30,8,-491.2
utility_based,normal,3,win,1090,91,12.285,0,1,18,7,3057.8
learning,normal,3,caught,250,32,4.32,52,0,11,5,-766.4
greedy,normal,3,win,1090,91,12.285,0,1,18,8,3055.8
random,normal,3,caught,130,17,2.295,60,0,4,4,-881.4
table_driven,normal,4,caught,70,11,1.485,66,0,4,1,-934.2
simple_reflex,normal,4,caught,280,48,6.48,49,0,24,4,-737.6
model_based,normal,4,caught,730,100,13.5,12,0,36,2,-294.0
goal_based,normal,4,win,890,123,16.605,0,0,50,8,2849.4
utility_based,normal,4,caught,560,56,7.56,25,0,8,4,-459.2
learning,normal,4,caught,810,61,8.235,24,1,12,1,-204.2
greedy,normal,4,caught,510,51,6.885,30,0,8,4,-508.2
random,normal,4,caught,140,27,3.645,59,0,13,9,-883.4
table_driven,normal,5,caught,70,11,1.485,66,0,4,1,-934.2
simple_reflex,normal,5,caught,1160,91,12.285,9,2,27,3,135.8
model_based,normal,5,caught,560,70,9.45,29,0,26,1,-456.0
goal_based,normal,5,win,1090,125,16.875,0,1,52,9,3047.0
utility_based,normal,5,win,890,103,13.905,0,0,30,8,2853.4
learning,normal,5,caught,250,32,4.32,52,0,11,5,-766.4
greedy,normal,5,caught,500,50,6.75,31,0,8,4,-518.0
random,normal,5,caught,130,21,2.835,60,0,8,6,-886.2
table_driven,normal,6,caught,70,11,1.485,66,0,4,1,-934.2
simple_reflex,normal,6,caught,690,81,10.935,32,1,40,6,-338.2
model_based,normal,6,caught,590,93,12.555,26,0,43,1,-430.6
goal_based,normal,6,caught,500,68,9.18,31,0,26,8,-529.6
utility_based,normal,6,win,890,91,12.285,0,0,18,9,2853.8
learning,normal,6,caught,250,34,4.59,52,0,13,7,-770.8
greedy,normal,6,win,1490,91,12.285,0,3,18,8,3455.8
random,normal,6,caught,150,37,4.995,58,0,22,15,-887.4
